stock_name,user_name,video_id,followers,views,likes,comments,shares
AdvisorShares Sage Core Reserves ETF (HOLD),investing_with_mike,6940782516798278917,77000,581,30,7,1
"AdvisorShares Trust AdvisorShar (MSOS)
Word Searched: advisor",alcidesvla,6940774869340556550,12700,7377,116,11,1
"Affiliated Managers Group, Inc. (AMG)
Word Searched: affiliated",oscarwulfff,6935241744531590406,7864,25000,1473,50,409
"Alexandria Real Estate Equities, Inc. (ARE)",stockstok,6926183877455154438,5592,291,12,1,1
"Alexandria Real Estate Equities, Inc. (ARE)",nickcomizio,6926225800442268934,3683,9706,162,22,33
"Alibaba Group Holding Limited (BABA)
Word Searched: BABY",erikbotoss,6938499665398648070,4297,1467,26,4,1
Alliance Data Systems Corporation (ADS),millionaire_mindset15,6925298030384139525,4023,615,9,1,2
"Allstate Corporation (The) (ALL)
Word Searched: FALL",stockstrader,6924867648434097414,5441,370,8,1,0
"Alphabet Inc. (GOOGL)
Word Searched: Google",stockmarketuniversity,6940824111950155013,2839,402,12,1,1
"Amazon.com, Inc. (AMZN)",stockstrader,6924867648434097414,5441,370,8,1,0
"Amazon.com, Inc. (AMZN)",calltoleap,6940824900215033093,733100,30500,2793,95,129
American Airlines Group Inc. (AAL),titotrades,6940611851126443270,53200,4417,407,61,11
American Airlines Group Inc. (AAL),tradelikegates,6940740376441392390,28500,12800,433,31,69
"American Airlines Group, Inc. (AAL)
Word Searched: Airlines",mikeoptions,6940742393868193029,7199,185,12,0,0
American Express Company (AXP),hccapital,6940807359002578182,46500,1199,53,4,2
"American Water Works Company, I (AWK)
Word Searched: AWS",stockmarketuniversity,6940824111950155013,2839,402,12,1,1
"Amplify Lithium & Battery Techn (BATT)
Word Searched: BAIT",bullishbetter,6940610783705435398,46600,4716,229,56,35
"Annaly Capital Management Inc (NLY)
Word Searched: only",alcidesvla,6940774869340556550,12700,7377,116,11,1
"Arch Resources, Inc. (ARCH)
Word Searched: March",millionaire_mindset15,6925298030384139525,4023,615,9,1,2
Assured Guaranty Ltd. (AGO),matthewhirayama,6928132692047432965,7933,113600,6982,273,86
Atlantic Power Corporation (AT),stockswallet,6940728029555461381,16800,4048,213,13,32
Atlantic Power Corporation (AT),theonlynaklas,6940406762407349510,86600,23200,1586,78,429
"Atlassian Corporation Plc (TEAM)
Word Searched: Teams",austinhankwitz,6940416078606601477,480800,11800,494,39,4
"Auris Medical Holding Ltd. (EARS)
Word Searched: years",greentradesonly,6940675157652442373,20100,1220,44,5,2
"Auris Medical Holding Ltd. (EARS)
Word Searched: years",millionaire_mindset15,6925298030384139525,4023,615,9,1,2
"Aurora Cannabis Inc. (ACB)
Word Searched: Cannabis",mikeoptions,6940742393868193029,7199,185,12,0,0
"B.O.S. Better Online Solutions (BOSC)
Word Searched: better",calltoleap,6940824900215033093,733100,30500,2793,95,129
BEST Inc. (BEST),investodaily,6940708690198564102,13400,1747,50,2,10
"BETAPRO MARIJUANA COS INVERSE E (HMJI.TO)
Word Searched: Inverse",greentradesonly,6940675157652442373,20100,1220,44,5,2
"BIGG DIGITAL ASSETS INC (BBKCF)
Word Searched: Assets",stockmarketuniversity,6940824111950155013,2839,402,12,1,1
"BOUNCE MOBILE SYSTEMS INC. (BNCM)
Word Searched: bounce",vinstock,6940287673751866629,41100,1002,59,15,6
"BRINGSPRING SCIENC (300290.SZ)
Word Searched: brings",investwithruss,6940684504789011718,90800,58100,2087,136,94
"Bakkt BTC (USD) Monthly Future  (BTM=F)
Word Searched: Month",investwithruss,6940684504789011718,90800,58100,2087,136,94
"Bakkt BTC (USD) Monthly Future  (BTM=F)
Word Searched: month",thebuyinking,6940646927092452614,537900,44300,4311,113,102
"Bakkt BTC (USD) Monthly Future  (BTM=F)
Word Searched: monthly",realstockmarket,6921738093380898053,2957,1893,54,1,4
"Bank Rakyat Indonesia (Persero) (BBRI.JK)
Word Searched: R I P",brunopamfilio,6933008593000156422,1284,3070,177,37,6
Bank of America Corporation (BAC),hccapital,6940807359002578182,46500,1199,53,4,2
Barnes Group Inc. (B),stockmarketuniversity,6940824111950155013,2839,402,12,1,1
Barnes Group Inc. (B),mr.investr,6940644631440821510,78500,6157,197,37,19
"Barrick Gold Corporation (GOLD)
Word Searched: BOLD",investwithruss,6940684504789011718,90800,58100,2087,136,94
Bemax Inc. (BMXC),penny.lifestyles,6940813469444820229,173600,959,31,7,0
"Berkshire Hathaway Inc. New (BRK-B)
Word Searched: Berkshire",coincapital,6935149838841531653,3563,240,15,0,3
"Big Lots, Inc. (BIG)",stockinvestors,6935593005105548549,22100,2580,59,10,15
"Bill.com Holdings, Inc. (BILL)
Word Searched: bills",mattyand,6927504237278661893,840,16900,700,153,117
"Bio-Rad Laboratories, Inc. (BIO)",stockswallet,6940728029555461381,16800,4048,213,13,32
"Bio-Rad Laboratories, Inc. (BIO)",penny.lifestyles,6940813469444820229,173600,959,31,7,0
"Bio-Rad Laboratories, Inc. (BIO)",stockshub,6930999772882980102,83500,3767,117,14,2
"Bio-Rad Laboratories, Inc. (BIO)",greentradesonly,6940675157652442373,20100,1220,44,5,2
"Bio-Rad Laboratories, Inc. (BIO)",mikeoptions,6940742393868193029,7199,185,12,0,0
